Position, Ch 1&2, Run #2
Time ( s )	Position ( m )
0.0000	0.229
0.0198	0.228
0.0396	0.228
0.0594	0.229
0.0792	0.229
0.0990	0.229
0.1188	0.229
0.1386	0.229
0.1584	0.229
0.1782	0.229
0.1980	0.230
0.2178	0.230
0.2376	0.231
0.2574	0.230
0.2772	0.232
0.2970	0.235
0.3169	0.238
0.3367	0.242
0.3565	0.244
0.3763	0.248
0.3961	0.251
0.4160	0.257
0.4358	0.265
0.4557	0.272
0.4755	0.281
0.4954	0.290
0.5152	0.300
0.5351	0.310
0.5549	0.321
0.5748	0.333
0.5947	0.345
0.6146	0.367
0.6345	0.384
0.6543	0.387
0.6742	0.400
0.6941	0.416
0.7140	0.431
0.7339	0.447
0.7538	0.465
0.7737	0.482
0.7936	0.500
0.8135	0.519
0.8334	0.538
0.8533	0.558
0.8732	0.578
0.8932	0.600
0.9131	0.622
0.9330	0.644
0.9529	0.667
0.9729	0.691
0.9928	0.715
1.0128	0.739
1.0327	0.765
1.0527	0.791
1.0726	0.818
1.0926	0.845
1.1125	0.872
1.1325	0.900
1.1525	0.929
1.1724	0.959
1.1924	0.988
1.2123	1.011
1.2321	1.006
1.2519	0.998
1.2716	0.990
1.2914	0.988
1.3112	0.981
1.3310	0.981
1.3507	0.977
1.3706	0.979
1.3903	0.976
1.4101	0.977
1.4299	0.977
1.4498	0.979
1.4696	0.981
1.4894	0.984
1.5092	0.987
1.5290	0.990
1.5488	0.994
1.5686	0.992
1.5884	0.993
1.6082	0.990
1.6280	0.990
1.6478	0.987
1.6676	0.988
1.6874	0.988
1.7072	0.988
1.7270	0.989
1.7468	0.990
1.7666	0.990
1.7864	0.990
1.8062	0.989
1.8260	0.989
1.8458	0.989
1.8656	0.988
1.8854	0.988
1.9052	0.988
1.9250	0.988
1.9448	0.988
1.9646	0.989
1.9844	0.989
2.0042	0.988
