Position, Ch 1&2, Run #1
Time ( s )	Position ( m )
0.0000	0.226
0.0198	0.229
0.0396	0.229
0.0594	0.229
0.0792	0.229
0.0990	0.229
0.1188	0.229
0.1386	0.229
0.1584	0.229
0.1782	0.229
0.1980	0.229
0.2178	0.226
0.2376	0.227
0.2574	0.230
0.2772	0.230
0.2970	0.233
0.3168	0.232
0.3366	0.235
0.3565	0.238
0.3763	0.242
0.3961	0.244
0.4159	0.249
0.4357	0.252
0.4556	0.258
0.4754	0.265
0.4953	0.274
0.5151	0.282
0.5350	0.291
0.5548	0.301
0.5747	0.312
0.5945	0.323
0.6144	0.334
0.6343	0.347
0.6542	0.369
0.6741	0.390
0.6939	0.389
0.7138	0.403
0.7337	0.418
0.7536	0.434
0.7735	0.451
0.7934	0.468
0.8133	0.486
0.8332	0.504
0.8531	0.523
0.8730	0.543
0.8929	0.563
0.9129	0.584
0.9328	0.605
0.9527	0.627
0.9726	0.650
0.9926	0.674
1.0125	0.697
1.0325	0.722
1.0524	0.748
1.0724	0.773
1.0923	0.799
1.1123	0.826
1.1322	0.854
1.1522	0.882
1.1722	0.911
1.1921	0.939
1.2120	0.956
1.2319	0.977
1.2525	1.111
1.2716	0.982
1.2913	0.970
1.3112	0.984
1.3315	1.072
1.3506	0.955
1.3704	0.953
1.3902	0.953
1.4100	0.953
1.4298	0.952
1.4496	0.950
1.4694	0.951
1.4892	0.952
1.5090	0.955
1.5288	0.952
1.5486	0.952
1.5684	0.951
1.5882	0.950
1.6080	0.952
1.6278	0.953
1.6476	0.953
1.6674	0.953
1.6872	0.953
1.7070	0.953
1.7268	0.953
1.7466	0.953
1.7664	0.953
1.7862	0.953
1.8060	0.953
1.8258	0.953
1.8456	0.953
1.8654	0.953
1.8852	0.953
1.9050	0.954
1.9248	0.953
1.9446	0.953
1.9644	0.954
1.9842	0.953
2.0040	0.953
