Position, Ch 1&2, Run #4
Time ( s )	Position ( m )
0.0000	0.227
0.0198	0.227
0.0396	0.227
0.0594	0.227
0.0792	0.227
0.0990	0.227
0.1188	0.227
0.1386	0.227
0.1584	0.227
0.1782	0.227
0.1980	0.227
0.2178	0.227
0.2376	0.227
0.2574	0.227
0.2772	0.227
0.2970	0.228
0.3168	0.229
0.3366	0.230
0.3564	0.232
0.3762	0.235
0.3960	0.236
0.4159	0.240
0.4357	0.245
0.4555	0.247
0.4753	0.252
0.4952	0.255
0.5150	0.263
0.5348	0.271
0.5547	0.279
0.5745	0.289
0.5944	0.299
0.6143	0.309
0.6341	0.320
0.6540	0.332
0.6739	0.344
0.6937	0.357
0.7136	0.373
0.7336	0.397
0.7534	0.401
0.7733	0.416
0.7932	0.432
0.8131	0.448
0.8330	0.465
0.8529	0.483
0.8728	0.501
0.8927	0.520
0.9126	0.540
0.9325	0.560
0.9524	0.581
0.9724	0.602
0.9923	0.624
1.0122	0.647
1.0322	0.670
1.0521	0.694
1.0720	0.719
1.0920	0.744
1.1119	0.770
1.1319	0.796
1.1519	0.824
1.1718	0.851
1.1918	0.879
1.2117	0.907
1.2317	0.937
1.2517	0.967
1.2717	0.997
1.2916	1.014
1.3113	1.006
1.3311	0.995
1.3508	0.983
1.3706	0.984
1.3903	0.977
1.4101	0.977
1.4299	0.972
1.4497	0.972
1.4695	0.968
1.4893	0.971
1.5091	0.972
1.5289	0.974
1.5487	0.976
1.5686	0.979
1.5884	0.982
1.6082	0.986
1.6280	0.990
1.6478	0.994
1.6677	0.997
1.6875	0.997
1.7073	0.995
1.7270	0.994
1.7468	0.992
1.7666	0.991
1.7864	0.991
1.8062	0.991
1.8260	0.990
1.8458	0.991
1.8656	0.992
1.8854	0.993
1.9052	0.994
1.9250	0.994
1.9448	0.994
1.9646	0.993
1.9844	0.993
2.0042	0.993
